ENERGY_TYPE,Year,ProdQuadBTU,ConsumptionQuadBTU
Biomass,2017,4.567523,3.003192
Biomass,2018,4.686445,3.053536
Biomass,2019,4.702451,3.041163
Biomass,2020,4.632115,3.096766
Biomass,2021,4.666983,3.13083
Biomass,2022,4.690466,3.155548
Biomass,2023,4.718809,3.183025
Biomass,2024,4.753774,3.216449
Biomass,2025,4.78864,3.251319
Biomass,2026,4.815751,3.278578
Biomass,2027,4.834278,3.29728
Biomass,2028,4.859916,3.321731
Biomass,2029,4.887695,3.349408
Biomass,2030,4.899531,3.36015
Biomass,2031,4.895795,3.370401
Biomass,2032,4.910491,3.386129
Biomass,2033,4.934169,3.41098
Biomass,2034,4.962529,3.439343
Biomass,2035,4.996491,3.467945
Biomass,2036,5.036224,3.507267
Biomass,2037,5.059865,3.532036
Biomass,2038,5.086942,3.560416
Biomass,2039,5.107485,3.582139
Biomass,2040,5.128457,3.605669
Biomass,2041,5.151797,3.628979
Biomass,2042,5.168749,3.647099
Biomass,2043,5.183587,3.663198
Biomass,2044,5.209049,3.687537
Biomass,2045,5.238166,3.715001
Biomass,2046,5.267659,3.744555
Biomass,2047,5.302783,3.779726
Biomass,2048,5.327879,3.804885
Biomass,2049,5.354259,3.831318
Biomass,2050,5.382693,3.859823
Coal,2017,15.900172,13.762893
Coal,2018,15.69179,13.174995
Coal,2019,15.072668,12.584531
Coal,2020,14.299564,11.922504
Coal,2021,13.574759,11.510321
Coal,2022,13.532781,11.408146
Coal,2023,13.497337,11.410247
Coal,2024,13.651735,11.513739
Coal,2025,13.568947,11.465545
Coal,2026,13.486689,11.332532
Coal,2027,13.333908,11.216919
Coal,2028,13.07442,11.16223
Coal,2029,13.349972,11.341563
Coal,2030,13.286784,11.372939
Coal,2031,13.082178,11.205752
Coal,2032,12.806699,10.889246
Coal,2033,12.780619,10.888958
Coal,2034,12.462419,10.758525
Coal,2035,12.459558,10.734076
Coal,2036,12.492782,10.729797
Coal,2037,12.437695,10.656091
Coal,2038,12.443433,10.640605
Coal,2039,12.433068,10.62372
Coal,2040,12.401733,10.627835
Coal,2041,12.365484,10.564292
Coal,2042,12.302883,10.536868
Coal,2043,12.215769,10.496588
Coal,2044,12.21744,10.509181
Coal,2045,12.300397,10.546926
Coal,2046,12.16431,10.52578
Coal,2047,12.086716,10.536016
Coal,2048,12.109116,10.558588
Coal,2049,12.112144,10.562956
Coal,2050,12.121796,10.572284
Hydroelectric power,2017,2.757653,2.757653
Hydroelectric power,2018,2.611001,2.611001
Hydroelectric power,2019,2.532883,2.532883
Hydroelectric power,2020,2.662325,2.662325
Hydroelectric power,2021,2.776697,2.776697
Hydroelectric power,2022,2.732257,2.732257
Hydroelectric power,2023,2.697827,2.697827
Hydroelectric power,2024,2.666692,2.666692
Hydroelectric power,2025,2.651938,2.651938
Hydroelectric power,2026,2.624932,2.624932
Hydroelectric power,2027,2.603545,2.603545
Hydroelectric power,2028,2.585038,2.585038
Hydroelectric power,2029,2.569131,2.569131
Hydroelectric power,2030,2.562516,2.562516
Hydroelectric power,2031,2.541877,2.541877
Hydroelectric power,2032,2.524506,2.524506
Hydroelectric power,2033,2.508252,2.508252
Hydroelectric power,2034,2.500372,2.500372
Hydroelectric power,2035,2.48926,2.48926
Hydroelectric power,2036,2.474985,2.474985
Hydroelectric power,2037,2.464472,2.464472
Hydroelectric power,2038,2.468306,2.468306
Hydroelectric power,2039,2.46532,2.46532
Hydroelectric power,2040,2.459805,2.459805
Hydroelectric power,2041,2.457134,2.457134
Hydroelectric power,2042,2.451074,2.451074
Hydroelectric power,2043,2.443541,2.443541
Hydroelectric power,2044,2.438273,2.438273
Hydroelectric power,2045,2.434482,2.434482
Hydroelectric power,2046,2.430581,2.430581
Hydroelectric power,2047,2.425087,2.425087
Hydroelectric power,2048,2.426455,2.426455
Hydroelectric power,2049,2.421845,2.421845
Hydroelectric power,2050,2.422858,2.422858
Oil_Condensate,2017,19.541615,37.637428
Oil_Condensate,2018,22.420023,38.33823
Oil_Condensate,2019,24.943438,38.796471
Oil_Condensate,2020,27.234871,38.257393
Oil_Condensate,2021,28.426102,38.020115
Oil_Condensate,2022,29.095585,37.846081
Oil_Condensate,2023,28.96369,37.542339
Oil_Condensate,2024,29.14106,37.207733
Oil_Condensate,2025,29.305252,36.887421
Oil_Condensate,2026,29.88385,36.596531
Oil_Condensate,2027,30.136162,36.390099
Oil_Condensate,2028,29.934774,36.2383
Oil_Condensate,2029,29.920412,36.042957
Oil_Condensate,2030,30.012842,35.847298
